ID	SIRE_ped_S1	DAM_ped_S1	SIRE_ped_EBPB	DAM_ped_EBPB	Mismatch_Type
11805	9470	10635	9470	10365	DAM
11923	9263	8912	9264	8912	SIRE
11966	9998	10496	9998	0	DAM
11967	9998	10497	9998	0	DAM
11969	9998	9137	9998	0	DAM
11975	9472	10519	9742	10519	SIRE
11976	9472	11174	9742	11174	SIRE
12047	10369	8723	10369	8728	DAM
12246	11050	8544	11050	0	DAM
12253	11201	8536	11201	0	DAM
12437	10568	11142	0	0	BOTH
12494	11201	8563	11201	8536	DAM
12527	11711	11441	11711	10911	DAM
12528	9995	10911	9995	11443	DAM
12596	9570	9569	9570	9596	DAM
12599	11846	8875	0	8875	SIRE
12600	11846	10565	0	10565	SIRE
12603	11191	10769	11191	11019	DAM
12663	11456	11446	11172	11446	SIRE
12735	10964	11719	10964	11717	DAM
12783	9531	10166	9531	8945	DAM
12828	10234	9477	10457	9477	SIRE
12829	10234	10051	10457	10051	SIRE
12831	11184	9618	10234	9618	SIRE
12832	10622	10901	11184	10901	SIRE
12833	11201	10908	10622	10908	SIRE
12861	11430	8728	10369	8728	SIRE
12862	10502	11834	11430	11834	SIRE
13008	0	0	9739	10173	BOTH
13021	10411	10260	10411	13618	DAM
13030	10411	10580	10411	13619	DAM
13032	10667	11416	10568	11142	BOTH
13091	0	10911	11711	10911	SIRE
13092	0	10718	11711	10718	SIRE
13093	0	0	11711	0	SIRE
13094	0	10719	11711	10719	SIRE
13217	10964	11717	0	11717	SIRE
13218	10964	11718	0	11718	SIRE
13323	12271	11834	12271	11843	DAM
13386	10457	11485	10457	11950	DAM
13387	10457	11950	10457	11485	DAM
13398	12495	12255	12254	12255	SIRE
13399	12495	12254	12254	12254	SIRE
13450	10457	12212	10457	11235	DAM
13495	0	0	10042	9348	BOTH
13500	10457	10692	10457	10693	DAM
13503	9874	12053	9847	12053	SIRE
13527	11914	12299	11914	0	DAM
13532	10430	11370	10430	11476	DAM
13586	11858	12675	11839	12675	SIRE
13621	0	0	10411	0	SIRE
13643	10342	10712	10342	9442	DAM
13645	0	0	10342	10712	BOTH
13654	10243	10556	10556	10243	BOTH
13656	10094	11794	10094	0	DAM
13662	10411	10260	10411	13618	DAM
13663	10411	11363	10411	13620	DAM
13664	10411	10580	10411	13619	DAM
13671	12950	12249	12950	9577	DAM
13791	11682	11672	12682	11672	SIRE
13835	9350	9659	0	0	BOTH
13842	10785	11652	10785	11625	DAM
13854	12526	12010	12283	12526	BOTH
13872	8940	11221	8940	12205	DAM
13873	8940	11555	8940	11221	DAM
13874	9549	11556	9549	11555	DAM
13875	9549	9994	9549	11556	DAM
13876	11473	10835	11473	9994	DAM
13877	10209	11815	10209	10835	DAM
13878	12408	12230	12408	11815	DAM
13879	12408	11934	12408	12230	DAM
13880	11965	0	11965	11934	DAM
13904	12426	12077	13426	12077	SIRE
13907	12440	12091	0	12091	SIRE
13958	12017	0	12017	10233	DAM
13964	10393	12297	10393	12997	DAM
13978	10411	10260	10411	13618	DAM
13979	10411	11363	10411	13620	DAM
13987	0	0	13376	10911	BOTH
13988	0	0	13376	10718	BOTH
14054	12440	12013	12150.1	12013	SIRE
14100	12271	11843	11843	12271	BOTH
14174	12017	10445	12017	0	DAM
14199	11676	12134	10442	12134	SIRE
14310	13225	0	0	0	SIRE
14325	0	0	11611	9831	BOTH
14328	9921	10341	0	0	BOTH
14329	10562	9483	0	0	BOTH
14330	0	0	13376	12220	BOTH
14423	11957	11232	11957	12212	DAM
14425	11957	10692	11957	10693	DAM
14659	12102	12657	12102	14	DAM
14670	0	0	15184	15182	BOTH
14671	0	0	0	14558	DAM
14672	0	0	0	14558	DAM
14703	0	12046	12160	12046	SIRE
14780	9180	13191	9180	13190	DAM
14828	12017	0	12017	10445	DAM
14829	12017	0	12017	12317	DAM
14832	12017	0	12017	12776	DAM
14833	12017	0	12017	12778	DAM
14834	12017	0	12017	12703	DAM
14880	12867	10692	12867	10693	DAM
14946	0	13851	13640	13851	SIRE
14949	0	12527	12526	12527	SIRE
14951	0	13853	13640	13853	SIRE
14954	0	12220	0	11441	DAM
14977	12440	12091	12150.1	12091	SIRE
14978	12440	12013	12150.1	12013	SIRE
14984	10412	11268	13632	11268	SIRE
15018	13700	13483	13700	13482	DAM
15044	12383	12695	12383	10959	DAM
