2000	0.000141774

4000	0.000269584

6000	0.000384455

8000	0.000486946

10000	0.000579961

12000	0.000664611

14000	0.000740054

16000	0.000807232

18000	0.000868121

20000	0.000923755

22000	0.000971775

24000	0.00101372

26000	0.00105286

28000	0.00108559

30000	0.00111691

32000	0.0011471

34000	0.00117432

36000	0.00119727

38000	0.00122156

40000	0.00124094

42000	0.00125903

44000	0.00127299

46000	0.00129002

48000	0.00130017

50000	0.00131045

52000	0.00131836

54000	0.00132748

56000	0.00133606

58000	0.00134407

60000	0.00135031

62000	0.00135904

64000	0.00136495

66000	0.00136735

68000	0.00137126

70000	0.00137619

72000	0.00138355

74000	0.00138553

76000	0.00139167

78000	0.00139014

80000	0.0013936

82000	0.00139466

84000	0.00139465

86000	0.00140043

88000	0.00140003

90000	0.00140605

92000	0.00140646

94000	0.00140778

96000	0.00141149

98000	0.00141027

100000	0.00140759

