nc	0	114012
exon	114013	116650
nc	116651	119557
exon	119558	121031
intron	121032	123987
exon	123988	124220
intron	124221	124542
exon	124543	125032
intron	125033	125339
exon	125340	125589
intron	125590	126671
exon	126672	126778
intron	126779	131448
exon	131449	131561
intron	131562	132156
exon	132157	132272
intron	132273	140624
exon	140625	140757
intron	140758	144663
exon	144664	144915
intron	144916	153294
exon	153295	153416
intron	153417	160596
exon	160597	160776
intron	160777	189959
exon	189960	190189
nc	190190	203514
exon	203515	203662
intron	203663	207843
exon	207844	207939
intron	207940	219928
exon	219929	220159
intron	220160	221372
exon	221373	221502
intron	221503	224065
exon	224066	224187
intron	224188	224689
exon	224690	224785
intron	224786	225970
exon	225971	226118
intron	226119	227030
exon	227031	227079
intron	227080	230483
exon	230484	231074
nc	231075	235355
exon	235356	235506
intron	235507	245194
exon	245195	246567
intron	246568	248761
exon	248762	248899
intron	248900	250587
exon	250588	250724
intron	250725	251691
exon	251692	251828
intron	251829	254994
exon	254995	255119
intron	255120	272532
exon	272533	272702
intron	272703	278652
exon	278653	278811
intron	278812	302227
exon	302228	302500
nc	302501	312080
exon	312081	313689
nc	313690	314411
exon	314412	315471
intron	315472	316815
exon	316816	316845
intron	316846	319218
exon	319219	319270
intron	319271	321588
exon	321589	321661
intron	321662	329237
exon	329238	329310
intron	329311	329593
exon	329594	329696
intron	329697	330917
exon	330918	330975
intron	330976	331073
exon	331074	331181
intron	331182	331430
exon	331431	331615
intron	331616	333280
exon	333281	333387
intron	333388	335492
exon	335493	335563
intron	335564	337118
exon	337119	337211
intron	337212	339513
exon	339514	339612
intron	339613	343973
exon	343974	344156
intron	344157	344531
exon	344532	344592
intron	344593	346035
exon	346036	346125
intron	346126	348156
exon	348157	348209
intron	348210	349365
exon	349366	349499
intron	349500	351625
exon	351626	351716
intron	351717	354455
exon	354456	354515
intron	354516	361549
exon	361550	361890
nc	361891	380815
exon	380816	381871
intron	381872	389224
exon	389225	389360
intron	389361	390245
exon	390246	390404
intron	390405	391572
exon	391573	391681
intron	391682	398047
exon	398048	398165
intron	398166	400453
exon	400454	400545
intron	400546	405642
exon	405643	405722
intron	405723	406674
exon	406675	406769
intron	406770	408377
exon	408378	408462
intron	408463	411988
exon	411989	412141
intron	412142	416661
exon	416662	416814
intron	416815	422639
exon	422640	422790
intron	422791	426565
exon	426566	426748
intron	426749	435763
exon	435764	435878
intron	435879	440728
exon	440729	440814
intron	440815	456704
exon	456705	456877
intron	456878	461777
exon	461778	461877
intron	461878	474030
exon	474031	474450
intron	474451	502246
exon	502247	502375
intron	502376	509435
exon	509436	509647
intron	509648	516314
exon	516315	516485
nc	516486	516762
exon	516763	516827
intron	516828	526113
exon	526114	526490
intron	526491	528749
exon	528750	528985
intron	528986	529908
exon	529909	530069
intron	530070	533627
exon	533628	533678
intron	533679	533899
exon	533900	533999
intron	534000	534585
exon	534586	534667
intron	534668	535751
exon	535752	535824
intron	535825	537511
exon	537512	537656
intron	537657	538294
exon	538295	538514
intron	538515	539203
exon	539204	539412
intron	539413	542079
exon	542080	542174
intron	542175	544459
exon	544460	544549
intron	544550	544648
exon	544649	544713
intron	544714	548720
exon	548721	548854
intron	548855	549170
exon	549171	549274
intron	549275	550216
exon	550217	550353
intron	550354	550923
exon	550924	550983
intron	550984	552928
exon	552929	553115
intron	553116	557979
exon	557980	558053
intron	558054	563583
exon	563584	563851
intron	563852	566770
exon	566771	566861
intron	566862	567663
exon	567664	567811
intron	567812	571239
exon	571240	571317
intron	571318	571716
exon	571717	571752
intron	571753	571834
exon	571835	571904
intron	571905	574205
